kingdom,phylum,classname,ordername,family
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,ACANTHACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,ACERACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARALES,ACORACEAE
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,ACROBOLBACEAE
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,ACROCHAETIALES,ACROCHAETIACEAE
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,ACROSYMPHYTALES,ACROSYMPHYTACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,ACTINIDIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,ADOXACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,AEXTOXICACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,AGAVACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,AIZOACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES,ALANGIACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,ALISMATACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ALLIACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ALOACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ALSTROEMERIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,AMARANTHACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,AMARYLLIDACEAE
PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,AMBLYSTEGIACEAE
PLANTAE,BRYOPHYTA,SPHAGNOPSIDA,AMBUCHANANIALES,AMBUCHANANIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,ANACARDIACEAE
PLANTAE,CHLOROPHYTA,ULVOPHYCEAE,CLADOPHORALES,ANADYOMENACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,ANCISTROCLADACEAE
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,SCHIZAEALES,ANEMIACEAE
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,METZGERIALES,ANEURACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ANISOPHYLLEACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ANTHERICACEAE
PLANTAE,ANTHOCERATOPHYTA,ANTHOCEROTOPSIDA,ANTHOCEROTALES,ANTHOCEROTACEAE
PLANTAE,CHLOROPHYTA,CHLOROPHYCEAE,CHAETOPHORALES,APHANOCHAETACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,APHYLLANTHACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,NAJADALES,APONOGETONACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,AQUIFOLIACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARALES,ARACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,ARAUCARIACEAE
PLANTAE,BRYOPHYTA,BRYOPSIDA,ARCHIDIALES,ARCHIDIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ARISTOLOCHIALES,ARISTOLOCHIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,ASCLEPIADACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ASPARAGACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ASPHODELACEAE
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,ASPLENIACEAE
