"term","category","limitation"
"accessory cell","STRUCTURE",""
"accessory fruit","nominative","fruit"
"achene","nominative","fruit"
"akene","nominative","fruit"
"acorn","nominative","fruit"
"adventitious bud","STRUCTURE",""
"adventitious root","STRUCTURE",""
"aerial root","STRUCTURE",""
"aggregate fruit","nominative","fruit"
"akene","nominative","fruit"
"ala","STRUCTURE",""
"alae","STRUCTURE",""
"ala","STRUCTURE",""
"alae","STRUCTURE",""
"albumen","structure",""
"ament","nominative","inflorescence"
"ampulla","STRUCTURE",""
"ampullae","STRUCTURE",""
"androecial tube","STRUCTURE",""
"androecium","STRUCTURE",""
"androecia","STRUCTURE",""
"androgynophore","STRUCTURE",""
"androphore","STRUCTURE",""
"annulus","STRUCTURE",""
"annuli","STRUCTURE",""
"annulus","STRUCTURE",""
"annuli","STRUCTURE",""
"anthela","nominative","inflorescence"
"anthelae","nominative","inflorescence"
"anther","STRUCTURE",""
"antheridium","STRUCTURE",""
"antheridia","STRUCTURE",""
"antherozoid","STRUCTURE",""
"anthocarp","nominative","fruit"
"apex","STRUCTURE",""
"apices","STRUCTURE",""
"apiculum","STRUCTURE",""
"apicula","STRUCTURE",""
"apiculum","STRUCTURE",""
"apicula","STRUCTURE",""
"appendage","STRUCTURE",""
"archegonium","STRUCTURE",""
"archegonia","STRUCTURE",""
"areola","STRUCTURE",""
"areolae","STRUCTURE",""
"areola","STRUCTURE","foliaceous structure"
"areolae","STRUCTURE","foliaceous structure"
"areole","STRUCTURE",""
"areole","STRUCTURE","foliaceous structure"
"aril","STRUCTURE",""
"aril","STRUCTURE",""
"arillode","STRUCTURE",""
"arillus","STRUCTURE",""
"arilli","STRUCTURE",""
"arista","STRUCTURE",""
"aristae","STRUCTURE",""
"articulation","STRUCTURE",""
"ascidium","STRUCTURE",""
"ascidia","STRUCTURE",""
"auricle","STRUCTURE",""
"awn","STRUCTURE",""
"axil","FEATURE",""
"axis","STRUCTURE",""
"axes","STRUCTURE",""
"banner","STRUCTURE",""
"barb","STRUCTURE",""
"barb","STRUCTURE",""
"barbel","STRUCTURE",""
"barbella","STRUCTURE",""
"barbellae","STRUCTURE",""
"barbellula","STRUCTURE",""
"barbellulae","STRUCTURE",""
"barbellule","STRUCTURE",""
"bark","STRUCTURE",""
"basal cell","STRUCTURE",""
"base","STRUCTURE",""
"beak","STRUCTURE",""
"beak","STRUCTURE",""
"beaklet","STRUCTURE",""
"beaklet","STRUCTURE",""
"beard","STRUCTURE",""
"berry","nominative","fruit"
"bladder","STRUCTURE",""
"blade","STRUCTURE",""
"blister","FEATURE",""
"blotch","FEATURE",""
"bole","STRUCTURE",""
"bostryx","nominative","inflorescence"
"bostryches","nominative","inflorescence"
"bract","STRUCTURE",""
"bract","STRUCTURE",""
"bracteole","STRUCTURE",""
"bracteole","STRUCTURE",""
"bractlet","STRUCTURE",""
"bractlet","STRUCTURE",""
"branch","STRUCTURE",""
"branchlet","STRUCTURE",""
"bristle","STRUCTURE",""
"bristle","STRUCTURE",""
"bud","STRUCTURE",""
"bud scale","STRUCTURE",""
"bud-scale scar","FEATURE",""
"bulb","STRUCTURE",""
"bulbel","STRUCTURE",""
"bulbil","STRUCTURE",""
"bulblet","STRUCTURE",""
"bulla","FEATURE",""
"bullae","FEATURE",""
"bundle","nominative","inflorescence"
"bundle scar","FEATURE",""
"bursicle","STRUCTURE",""
"callus","FEATURE",""
"calyculus","STRUCTURE",""
"calyculi","STRUCTURE",""
"calyculus","STRUCTURE",""
"calyculi","STRUCTURE",""
"calyptra","STRUCTURE",""
"calyptrae","STRUCTURE",""
"calyx","STRUCTURE",""
"calyces","STRUCTURE",""
"calyx tube","STRUCTURE",""
"cane","STRUCTURE",""
"cap cell","STRUCTURE",""
"capillus","STRUCTURE",""
"capilli","STRUCTURE",""
"capitulum","nominative","inflorescence"
"capitula","nominative","inflorescence"
"capsule","nominative","fruit"
"carina","STRUCTURE",""
"carinae","STRUCTURE",""
"carina","STRUCTURE",""
"carinae","STRUCTURE",""
