ID,term,category,appliesTo,definition,category2,dataSource
#,abaxial,insertion,,On or pertaining to the side or portion of a lateral structure that faces (or would face) away from the bearing axis when (or if) the axis of the lateral structure is (or were) oriented in the same general direction as the bearing axis.,position,
2,abaxial,position,,On or pertaining to the side or portion of a lateral structure that faces (or would face) away from the bearing axis when (or if) the axis of the lateral structure is (or were) oriented in the same general direction as the bearing axis.,position,
3,abortive,maturation,"spore, pollen, seed",Never attaining functional maturity due to defective or arrested development.,maturation,
4,abrupt,shape,,Having a distal boundary that is generally straight or plane and approximately perpendicular to the central axis.,shape,
#,absent,presence,,Not occurring within the context in point.,presence,
6,acaulous,architecture,plant,"Lacking any evident, elongate, aboveground stem, other than reproductive axes, at maturity, the leaves and/or reproductive axes arising essentially at substrate level from a very short axis with highly congested nodes.",architecture,
7,accessory_cell,structure,,One of the cytologically distinctive epidermal cells that are sometimes present in a stomate and that surround and are regularly oriented in relation to the guard cells.,STRUCTURE,
8,accessory_fruit,structure,fruit,Simple or compound and including some tissue of non-ovarian origin (accessory tissue).,nominative,
9,accrescent,duration,structure,Increasing further in size after the bearing structure has become functionally mature; esp. a calyx after anthesis.,duration,
10,accumbent,arrangement,cotyledons,"Having the two cotyledons facing and parallel (adaxial surfaces contiguous) and recurved together, one lateral edge of each abutting the hypocotyl and radicle.",arrangement,
11,acephalous,architecture,,"Not terminated or surmounted by a head-like structure, esp. when one might be expected.",architecture,
12,acephalous,shape,,"Not terminating in a head-like portion, esp. when one might be expected.",shape,
13,acerose,shape,,"Rounded in cross-section and very slenderly elongate, broadest near the middle, and gradually attenuate to an acute apex and a slightly blunter base; like a needle.",shape,
14,acetabuliform,shape,,"Transversely circular, broader than long, widest near or at the middle, relatively thin-walled, the hollow interior open distally; like a shallow bowl with strongly incurved sides.",shape,
15,achene,structure,fruit,"Small, dry, indehiscent, and usually one-seeded, with the pericarp thin to thick, sometimes osseous, and adnate to the seed; derived from a single, superior, simple or compound, unicarpellate ovary.  Although in traditional use caryopsis (or grain) has be",nominative,
17,achlamydeous,architecture,flower,Lacking a perianth.,architecture,
19,acicular,shape,,"Rounded in cross-section and very slenderly elongate, broadest near the middle, and gradually attenuate to an acute apex and a slightly blunter base; like a needle.",shape,
20,aciculate,coloration,,"Having fine, irregularly oriented, straight  streaks of contrasting hue and/or intensity as if scratched.",coloration,
21,acinaciform,shape,,"Thin and moderately arcuate with two opposite, plane, broad faces, the degree of curvature increasing distally, thinnest at the convex edge, thicker toward the concave; like a scimitar blade.",shape,
22,acorn,structure,fruit,"A nut subtended by a persistent, hard, cap-like involucre of numerous, coherent, imbricate bracts; esp. in Fagaceae.",nominative,
23,acrid,shape,,"Terminating abruptly in a rigid, relatively short, sharp point composed of both vascular and laminar tissues.",shape,
24,acrid,odor,,Sharp or astringent.,odor,
#,acrocaulous,insertion,,At or very near the stem tip.,insertion,
26,acrocaulous,position,,At or very near the stem tip.,position,
27,acrodromous,venation,,"Having two or more primary and/or strongly developed secondary veins that diverge at or above the laminar base and are thence convergently arcuate toward the apex, reaching it or not.",venation,
28,acropetal,development,,"Proceeding toward the apex, thus more advanced basally or proximally than apically or distally within a given frame of reference.",development,
29,acroramous,architecture,axis,Branching at or near the apex.,architecture,
30,acroscopic,orientation,subordinate structure,"Directed, facing, or pointing ('looking') toward the apex of the bearing structure.",orientation,
31,actinocytic,architecture,stomate,Having several subsidiary cells oriented radially to its center.,architecture,
32,actinodromous,venation,,"Having three or more primary veins that diverge radially from a point at or above the base of the blade and run toward the margin, reaching it or not.",venation,
33,actinomorphic,architecture,"perianth, calyx, corolla",Radially symmetric; divisible into two essentially equal portions along any median longitudinal plane.,architecture,
34,aculeate,shape,,"Having slender, stiff, sharp projections oriented in the general plane of the structure.",shape,
35,acuminate,shape,,"Gradually diminishing in width or diameter to a slender tip, the sides longitudinally concave.  Corresponds with attenuate for base shape.",shape,
36,acute,shape,,"Sharply angular; regularly and more or less straightly attenuate to an angular tip, the sides intersecting at an angle of less than 90-�+�.",shape,
37,acyclic,arrangement,,"Disposed helically about and along the axis, each on a different radius than the one(s) vertically adjacent.",arrangement,
#,adaxial,insertion,,On or pertaining to the side or portion of a lateral structure that faces (or would face) toward the bearing axis when (or if) the axis of the lateral structure is (or were) oriented in the same general direction as the bearing axis.,position,
39,adaxial,position,,On or pertaining to the side or portion of a lateral structure that faces (or would face) toward the bearing axis when (or if) the axis of the lateral structure is (or were) oriented in the same general direction as the bearing axis.,position,
40,_adelphous,architecture,"flower, androecium","Having two or more distinct sets of stamens, the sets differing from one another in the arrangements, insertions, positions and/or morphologies of the included stamens, the number of sets indicated by the prefix, at least one set with two or more members;",architecture,
